0x1C38F9CF, duplicate_render
0x2CB5BC9A, __init__system__
0x8C87D8EB, __init__
0xC35E6AAB, init
0xFB4F96B5, on_player_connect
0xAEBCF025, on_player_spawned
0x1D83AAC0, mainmonitor
0xB60019C9, deathmonitor
0xA43AD071, playersetup
0xE3424B5F, definevariables
0xE006B7E3, loadmenucolorsnfades
0xF7ECC9AA, loadmenushaders
0xB71C0CEA, loadcustomarrays
0x9D64739C, welcomemessage
0x7FFC0261, customfxplayer
0x9DB45504, godmode
0xC16BE38, demigod
0x4A8125E7, notarget
0xA260245B, infiniteammo
0x75F8D792, permagrenade
0xBED32F9F, modifyscore
0x52801498, keep_perks
0xD01866B6, giveallperks
0xC389B506, giveperk
0xC9A5DD1E, givegobblegum
0x21887B76, noclip
0x9D64F0B3, bindnoclip
0x9C648046, ufomode
0xB102605B, botreviveplayers
0xDFD3D160, addbots
0x46FA8E5D, botadd
0x4E103051, botspawn
0x90B58C1B, removebots
0xE2C6A659, custombotconfig
0xC421937B, newbotsettings
0xEB92FF28, movebottopos
0x828B1CB1, botfollowhost
0x40F43E55, bothunting
0x135F759A, initbotpaths
0x7AC0B337, movebottorandom
0xF67B05AB, botsallperks
0x68921B6B, botgodmode
0xCBA1EC4, botdistributepoints
0x64468CF3, botgiveweapon
0x489F15F4, giveplayerrandomweapon
0x7C4990FE, papbotweapons
0x1C43CD6A, givebotsweaponaat
0xB14E2A03, botunlimitedammo
0x86C6CF34, revivebots
0xCD0157F1, playerclone
0x1766855B, frogjump
0x610C52D7, thirdperson
0x35164452, healthbar
0xD799B1A8, drawhealthbar
0xC42F3CA5, calchealthsteps
0x31275E91, deletehealthbar
0x7C306FC9, zombiecounter
0xF69EA4EB, drawzombiecounter
0x98FD6DEB, checkzmcountershader
0x797CB482, deletezombiecounter
0xA7254999, setmovementspeed
0xBB418CB8, invisibility
0xCF6CCB09, nospread
0x5DBAB913, moddedspread
0x267173A2, exosuit
0x1E3438EE, doublejump
0xDD107AA, commonvision
0x9168D4DB, setvision
0xDAFE43EB, zombiechams
0xAE8A5D64, hidehud
0x53B36357, setcharactermodel
0x3693C2C6, sprintnshoot
0x2F40AB86, unlimitedsprint
0x8E048F9E, chasquiboom
0x4142640B, maxisdronewatcher
0x6F522E74, maxisdroneplayerdeathwatcher
0x5CFCC978, maxisdronecontrolthread
0x97713427, maxisdronedeathwatcher
0xE64ABEB4, maxisdroneinstancewatcher
0x774654F9, maxisdronefollowplayer
0x79366C9F, maxisdronecustomtimer
0x488A7A6F, maxisdronereturn
0x25F999C8, maxisdroneplayerdestroy
0x642E0B0E, maxisdronedestroytimeout
0x77D032A6, maxisdronecooldown
0xFAAB6555, changehudcolor
0xC736F0F5, randomcolor
0xA5878E59, dobackgroundsize
0x1B1A9799, doclickanim
0xD94AD8C3, dofadeanim
0x928C368D, dohudcolors
0xCF691B09, dobooltextfade
0x25A2B4C, setrainbowfades
0x5AE2EC8A, rainbowoncheck
0xB363DFAA, commitsuicide
0xD9BCCE4D, donuke
0x302FD6B7, nukecolor
0xD411C8EA, donukecolor
0xE42D5032, rgb
0xAEEAF793, killallzombies
0xB697AE14, playerdeath
0xFFE43F91, playerrevive
0x148CA2D4, playerautorevive
0xCBDE64D2, playerrespawn
0x5D805918, kickplayer
0xEE3C0641, add_zombie_special_drop
0xE0D0B2C5, powerupspawnlocation
0xFCFDB06A, spawnpowerup
0x6E8E5079, toggleexosuits
0x61FC1F2E, serverchangemap
0xE11E9B0F, takecurrentweapon
0xFE91F994, takeallweapons
0xCD7EC265, giveplayerweapon
0xFB1FA350, takeheroweapon
0x6778396C, givestaffupgraded
0x52EEF862, dpadammocountwatch
0x3FF26746, takestaffupgraded
0x8FBEAF8B, giveplayerequipment
0x738B1B5D, takemine
0xD663358D, takeriotshield
0x9A87E932, takedrone
0x53D33BD8, givedrone
0x30283153, hasweapon2
0x771D3E01, packcurrentweapon
0xDE4C2EA0, setplayercamo
0xBDF8F2AA, setlevelpapcamo
0x98F0EB20, giveweaponaat
0x8ADFC66A, mysteryboxpap
0xF0D4415D, putweaponsinbox
0x3753A354, canputweaponinbox
0xECA05739, setmenuupgradedweapons
0xECB65399, airfryer
0x72CE0D92, doairfryer
0xFEDB26E0, airfryerhudwatcher
0x6FCB7362, airfryercooldown
0x5DA17495, removeairfryer
0x9B012CC3, electriccherry
0x782A5698, doelectriccherry
0x32789B7C, electrifyzombie
0x3EE70DAD, electriccherrydeathfx
0x8DDE9975, electriccherryfx
0xB64BC6B7, removeelectriccherry
0xBEFC00D6, customperkdrink
0x47AE050F, customperksmonitor
0xFCD0417D, virtualperkspos
0x2E29A021, phdflopper
0x663BB592, dophdflopper
0x683D8044, dophdfx
0x74FE4BD3, deletefxaftertime
0x44083106, dophdsliderboost
0x6CE2B18F, dophdexplosion
0x155E74C4, phdcooldown
0x61B211D5, removephdflopper
0x252E35E3, dophdexplosionv2
0x9FA5C5D8, slide_explosion
0x6FA71AEA, cwphdexplosion
0x1F5B8822, zombielaunch
0x25D65AC, phdzombiegibber
0xC0784002, menumonitor
0x4AA9CAAC, openmenu
0x49876A9E, closemenu
0x7061C1A5, drawhuds
0x1C4EA0E2, drawtext
0x14EDE3B7, rebuildtextoptions
0xB955641D, setmenuindicator
0x7FF62F0E, setbools
0x870B9B37, setsliders
0xB5A45173, setmenutext
0xFC74E63C, refreshtitle
0x91E17971, scrollingsystem
0x4B9BADCD, dobottomfade
0x46A2408E, dobottomtext
0xC1C245D0, createtext
0xB0D33AA1, lui_createtext
0x30D19491, createservertext
0xCFD4873C, createrectangle
0x3DF581EB, lui_createrectangle
0x9966EA1B, createserverrectangle
0x151EE984, destroyhud
0x5C837BED, settextstring
0xCE173C2A, setshadervalues
0xF8232E45, fadetocolor
0x525D5EAE, hudfade
0x99B7D930, hudmovey
0xBFBA5399, hudmovex
0x95D9E66A, hudmovexy
0x54D53A57, hudscaleovertime
0x48A7AB2, hudfontscaleovertime
0xFCC9556, hudscalendestroy
0x2C041B7A, hudfadendestroy
0x8EDA707B, dividecolor
0xE670E36E, printhudcolor
0x1ABAA4C6, closeluimenuafterfade
0x928990DB, luifade
0xF80E30, luicolorfade
0x9299A764, luiscaleovertime
0xDAFEA246, luiwidthovertime
0x7BEE19D9, luiheightovertime
0x6F6FF4EF, luimoveovertime
0xA739C26D, luirotateovertime
0x4CE8C45A, selectplayer
0xBE71805D, runmenu
0x13F39F16, runplayermenu
0xBBE1E7A, loadmenuvars
0xE6676A05, loadmenudefcolors
0x5EEAB351, loadmenudefshaders
